name,rev,price
Rich Table,"4.6
91 Google reviews",$$$ · Restaurant
Coqueta,"4.3
189 Google reviews",$$$ · Spanish Restaurant
1601 Bar & Kitchen,"4.2
20 Google reviews",$$$ · Sri Lankan Restaurant
Miss Ollie's,"4.7
33 Google reviews",$$ · Caribbean Restaurant
Sir and Star,"4.2
16 Google reviews",$$$ · Californian Restaurant
Nick's Next Door,"4.7
51 Google reviews",$$$ · Bistro
Tribune Tavern,"4.1
34 Google reviews",$$$ · Gastropub
The Pear,"3.9
34 Google reviews",$$ · Southern Restaurant (US)
Chalkboard,"4.5
32 Google reviews",$$$ · American Restaurant
The Spinster Sisters,"4.5
42 Google reviews",$$$ · American Restaurant
Duende,"4.1
55 Google reviews",$$$ · Spanish Restaurant
Barrel House Tavern,"4.3
119 Google reviews",Californian Restaurant
Fey Restaurant,"3.8
56 Google reviews",Chinese Restaurant
Tanto Japanese Restaurant,"4.2
172 Google reviews",$$ · Japanese Restaurant
Lolinda,"4.6
65 Google reviews",$$$ · Argentinian Restaurant
Mason Pacific,"4.4
21 Google reviews",$$ · Bistro
Laciccia,"4.5
154 Google reviews",$$$ · Italian Restaurant
Mama Ji's,"4.5
125 Google reviews",Chinese Restaurant
Alta California Regional Center,None,Social Services Organization
Brenda's French Soul Food,"4.4
614 Google reviews",$$ · Soul Food Restaurant
1760,"4.3
54 Google reviews",$$$ · New American Restaurant
Cuisinett French Comfort Food,"4.6
59 Google reviews",French Restaurant
Aliment,"4.3
52 Google reviews",$$ · Breakfast Restaurant
Stones Throw,"4.4
74 Google reviews",$$$ · New American Restaurant
Tosca Cafe,"4.2
85 Google reviews",$$$ · Cafe
Trattoria da Vittorio,"4.6
45 Google reviews",Italian Restaurant
Cholita Linda,"4.7
100 Google reviews",$ · Latin American Restaurant
Iyasare,"4.3
29 Google reviews",$$ · Japanese Restaurant
Osmanthus,"4.1
26 Google reviews",$$$ · Asian Restaurant
Oak & Rye,"4.3
91 Google reviews",$$ · Pizza Restaurant
Zona Rosa,"4.3
43 Google reviews",$$ · Mexican Restaurant
La Viga Restaurant,"4.5
75 Google reviews",Mexican Restaurant
LV MAR,"4.4
39 Google reviews",Tapas Restaurant
New England Lobster Market & Eatery,"4.5
144 Google reviews",$$ · Seafood Restaurant
Sichuan Chong Qing Cuisine,"4.1
15 Google reviews",Restaurant
Vespucci Ristorante Italiano,"4.4
12 Google reviews",Italian Restaurant
Ciccio,"4.4
17 Google reviews",Pizza Restaurant
Zazu Kitchen + Farm,"3.9
50 Google reviews",$$$ · American Restaurant
Akiko's,"4.2
57 Google reviews",$$ · Sushi Restaurant
Kusakabe,"4.8
49 Google reviews",$$$$ · Japanese Restaurant
ICHI Sushi + NI Bar,"4.2
120 Google reviews",$$$ · Sushi Restaurant
Maruya,"4.3
37 Google reviews",$$$ · Japanese Restaurant
Trou Normand,"4.0
69 Google reviews",$$$ · New American Restaurant
"El Nido
Merced County, California",None,Elevation: 141′
Cafe Capistrano,"4.5
28 Google reviews",Mexican Restaurant
Liquid Bread Gastropub,"4.1
53 Google reviews",$$ · Gastropub
Archetype,"4.6
43 Google reviews",New American Restaurant
Aveline,"4.0
16 Google reviews",$$$$ · Californian Restaurant
Kin Khao,"4.4
119 Google reviews",$$$ · Thai Restaurant
Lavash Bread House Ltd.,None,Bakery · Woodbridge
alaMar Kitchen & Bar,"4.2
28 Google reviews",$$ · Seafood Restaurant
Pathos Organic Greek Kitchen,"4.7
18 Google reviews",$$$ · Ethnic Restaurant
Seaside Metal Oyster Bar,"4.0
11 Google reviews",$$ · Seafood Restaurant
Great China,"4.3
124 Google reviews",Chinese Restaurant
Michel Bistro,"4.5
24 Google reviews",$$ · French Restaurant
4505 Burgers & BBQ,"4.3
265 Google reviews",$ · American Restaurant
Monsieur Benjamin,"4.5
75 Google reviews",$$$ · French Restaurant
PABU Izakaya,"4.4
74 Google reviews",$$$ · Japanese Restaurant
Wako Sushi,"4.8
41 Google reviews",Japanese Restaurant
Shakewell,"4.8
36 Google reviews",$$$ · Mediterranean Restaurant
Babushka Russian Deli & Restaurant,"4.3
31 Google reviews",$ · Russian Restaurant
Aster,"4.6
46 Google reviews",$$$$ · New American Restaurant
Swaad Indian Cuisine,"4.5
70 Google reviews",Indian Restaurant
Dragon Beaux Restaurant,"4.3
83 Google reviews",$$ · Continental Restaurant
Sam's Social Club,"4.5
32 Google reviews",$$$ · American Restaurant
Trabocco Kitchen and Cocktails,"4.4
51 Google reviews",$$ · Italian Restaurant
Orexi,"4.2
17 Google reviews",$$ · Greek Restaurant
Rusty's Southern,"4.5
55 Google reviews",$$ · Southern Restaurant (US)
Taqueria San Bruno,"4.7
110 Google reviews",Mexican Restaurant
Carmel Pizza Company,"4.3
74 Google reviews",$ · Pizza Restaurant
Yi Yuan,"4.0
41 Google reviews",Chinese Restaurant
Tin Vietnamese Cuisine,"4.2
128 Google reviews",$$ · Vietnamese Restaurant
Octavia,"4.5
37 Google reviews",$$$$ · New American Restaurant
"Indio
City in California",None,
Californios,"4.8
21 Google reviews",$$$$ · Mexican Restaurant
Liholiho Yacht Club,"4.6
111 Google reviews",$$$ · Californian Restaurant
Bradley's Fine Diner,"4.2
21 Google reviews",$$$ · Californian Restaurant
Walia Ethiopian Cuisine,"4.4
141 Google reviews",$$ · Ethiopian Restaurant
STEM Kitchen & Garden,"4.2
43 Google reviews",$$ · Mediterranean Restaurant
Rose Pistola,"3.8
92 Google reviews",$$$ · Italian Restaurant
Prabh Indian Kitchen,"4.6
25 Google reviews",Indian Restaurant
Kitchen Istanbul,"4.1
84 Google reviews",$$ · Turkish Restaurant
Flavas Jamaican Grill -,"4.3
32 Google reviews",Jamaican Restaurant
Happy SiChuan,"4.0
13 Google reviews",Restaurant
Belga,"4.0
51 Google reviews",$$$ · Belgian Restaurant
Il Casaro,"4.7
130 Google reviews",$$ · Italian Restaurant
Mitsunobu,"4.1
16 Google reviews",Japanese Restaurant
Orchard City Kitchen,"4.5
131 Google reviews",American Restaurant
Omakase,"4.1
11 Google reviews",$$$$ · Japanese Restaurant
Cafe Romanat,"4.7
38 Google reviews",Ethiopian Restaurant
Valenti & Co.,"4.8
8 Google reviews",Northern Italian Restaurant
Lazy Bear,"4.6
64 Google reviews",$$$$ · New American Restaurant
High Peaks Kitchen,"4.4
11 Google reviews",South Asian Restaurant
Ramen Gaijin,"4.6
43 Google reviews",$ · Ramen Restaurant
Kemuri Japanese Barú,"4.6
17 Google reviews",Japanese Restaurant
Burmatown,"4.8
21 Google reviews",Burmese Restaurant
Harvest Table,"4.2
12 Google reviews",$$$$ · American Restaurant
Prubechu,"4.6
28 Google reviews",$$ · Asian Restaurant
Infinite Thai Eatery,"4.5
17 Google reviews",Thai Restaurant
Royal Indian Grill,"4.1
15 Google reviews",Indian Restaurant
Dry Creek Kitchen,"4.2
53 Google reviews",$$$ · Californian Restaurant
Tuba Inc,None,Metal Fabricator
Doc Ricketts,"4.5
24 Google reviews",$$$ · Californian Restaurant
San Tung,"4.2
473 Google reviews",$$ · Chinese Restaurant
Tadu Ethiopian Kitchen,"4.7
72 Google reviews",$ · Ethiopian Restaurant
Mourad,"4.5
63 Google reviews",$$$$ · Moroccan Restaurant
Cindy's Backstreet Kitchen,"4.3
68 Google reviews",$$$ · Californian Restaurant
Bistro Don Giovanni,"4.3
134 Google reviews",$$$ · Italian Restaurant
Kokkari Estiatorio,"4.5
507 Google reviews",$$$$ · Greek Restaurant
One Market Restaurant,"4.0
202 Google reviews",$$$ · American Restaurant
Zuzu,"4.3
85 Google reviews",$$ · Spanish Restaurant
Farmhouse Inn,4.7,4-star hotel
See results about,None,"1445 San Andreas Rd, Watsonville, CA 95076"
Chez TJ,"4.1
177 Google reviews",$$$$ · French Restaurant
Tamarine,"4.2
490 Google reviews",$$$ · Vietnamese Restaurant
Plumed Horse,"4.4
93 Google reviews",$$$$ · Fine Dining Restaurant
The Village Pub,"4.4
121 Google reviews",$$$ · Bar
None,None,
Buckeye Roadhouse,"4.4
97 Google reviews",$$$ · American Restaurant
Nopa,"4.4
793 Google reviews",$$$ · New American Restaurant
Bar Crudo,"4.3
162 Google reviews",$$ · Bar
Acquerello,"4.5
124 Google reviews",$$$$ · Italian Restaurant
Esin Restaurant & Bar,"4.3
59 Google reviews",$$$ · Mediterranean Restaurant
Gather,"4.1
230 Google reviews",$$ · Californian Restaurant
Atelier Crenn,"4.6
83 Google reviews",$$$$ · French Restaurant
Parallel 37,"4.4
13 Google reviews",$$$$ · Restaurant
Padrecito,"4.3
95 Google reviews",$ · Mexican Restaurant
"Kenwood
City in California",None,Elevation: 423′
The Progress,"4.6
65 Google reviews",$$$$ · Californian Restaurant
Aatxe,"4.1
35 Google reviews",$$$ · Tapas Bar
Mama Papa Lithuania Restaurant,"4.7
38 Google reviews",Lithuanian Restaurant
Pazzo Taverna and Pizzeria,"4.3
71 Google reviews",Italian Restaurant
Gintei Japanese restaurant,"4.5
26 Google reviews",Japanese Restaurant
Lord Stanley,"4.2
26 Google reviews",$$$$ · European Restaurant
Cobani Gyros and Kebabs,"4.6
58 Google reviews",Turkish Restaurant
Sushi Yoshizumi,"4.8
16 Google reviews",Sushi Restaurant
Longbranch Saloon,"4.3
29 Google reviews",$$ · Californian Restaurant
Farmhouse Kitchen,"4.5
94 Google reviews",$ · Thai Restaurant
Outerlands,"4.3
235 Google reviews",$$ · American Restaurant
398 Brasserie,"3.2
35 Google reviews",$$$$ · French Restaurant
Izakaya Rintaro,"4.8
56 Google reviews",$$$ · Japanese Restaurant
Chilli Padi,"4.5
24 Google reviews",Malaysian Restaurant
People also ask,None,"Weather: 76°F (24°C), Wind S at 9 mph (14 km/h), 27% Humidity"
Lau Hai San,"4.2
18 Google reviews",Restaurant
Al's Place,"4.6
76 Google reviews",$$ · New American Restaurant · La Lengua
Imm Thai Street Food,"4.4
59 Google reviews",Thai Restaurant
Los Cilantros,"4.0
12 Google reviews",$ · Mexican Restaurant
Thai Aroi-Dee,None,Restaurant
Cafe Jacqueline,"4.6
53 Google reviews",$$$ · French Restaurant
Anchor Oyster Bar,"4.5
172 Google reviews",$$ · Seafood Restaurant
Absinthe Brasserie & Bar,"4.1
831 Google reviews",$$$ · French Restaurant
Jardinière,"4.1
413 Google reviews",$$$$ · French Restaurant
Thep-phanon,"4.0
111 Google reviews",$$ · Thai Restaurant
Zuni Café,"4.1
1,047 Google reviews",$$$ · French Restaurant
Angele Restaurant and Bar,"4.1
70 Google reviews",$$$ · French Restaurant
Auberge du Soleil,4.7,$$$$ · American Restaurant
Cook St. Helena,"4.5
35 Google reviews",$$$ · Italian Restaurant
Bistro Jeanty,"4.5
166 Google reviews",$$$ · French Restaurant
Willow Wood Market Cafe,"4.2
29 Google reviews",$$ · Mediterranean Restaurant
John Ash & Co. Restaurant,"3.8
43 Google reviews",$$$ · Fine Dining Restaurant
Cafe La Haye,"4.6
29 Google reviews",$$$ · Cafe
Della Santina's,"4.0
52 Google reviews",$$ · Italian Restaurant
Fringale Restaurant,"4.3
89 Google reviews",$$$ · French Restaurant
"Boulevard
California",None,"Elevation: 3,638′"
Barndiva,"4.3
61 Google reviews",$$$ · American Restaurant
None,None,None
People also ask,None,None
Wine Spectator Greystone Restaurant,"4.2
24 Google reviews",$$$ · Italian Restaurant
La Toque,"4.4
41 Google reviews",$$$$ · French Restaurant
Chez Panisse,"4.5
509 Google reviews",$$$$ · Californian Restaurant
Tacubaya,"4.1
111 Google reviews",$$ · Mexican Restaurant
À Côté,"4.3
80 Google reviews",$$ · Mediterranean Restaurant
Picco Restaurant,"4.4
45 Google reviews",$$$ · Californian Restaurant
Insalata's,"3.9
33 Google reviews",$$ · Mediterranean Restaurant
Poggio Trattoria,"4.1
109 Google reviews",$$ · Italian Restaurant
Sushi Ran,"4.5
151 Google reviews",$$$$ · Japanese Restaurant
Frantoio Ristorante,"3.8
20 Google reviews",$$$ · Organic Restaurant
Marche aux Fleurs,"4.3
12 Google reviews",$$$ · French Restaurant
Farallon Restaurant,"4.2
214 Google reviews",$$$$ · Seafood Restaurant
A16,"4.2
515 Google reviews",$$$ · Italian Restaurant
Dragon Well,"3.9
50 Google reviews",$$ · Chinese Restaurant
Florio Bar & Cafe,"3.9
51 Google reviews",$$ · Italian Restaurant
Mamacita,"4.2
162 Google reviews",$$ · Mexican Restaurant
