name,rating,numrev,goog_price,cuisine
Bricolage,4.5,33,$$, Gastropub 
Park Avenue,4.2,192,$$$, New American 
Rebelle,4.5,22,$$$, French 
L'Antagoniste,4.6,23,$$, French  
Park Asia,3.9,58,$$, Chinese  
Upland,4.3,106,$$, American 
Gastroteca,4.2,66,$$, Gastropub 
Santina,3.9,93,$$$, Italian 
The Ribbon,4.1,37,$$$, New American 
Sweet Yummy House,3.6,15,$, Chinese  
Tempura Matsui,4.1,10,$$$$, Japanese 
Thai Rock,4.2,65,$$, Thai  
Balvanera,4.4,35,$$$, Steak House
Trattoria Romana da Vittorio,4.4,42,$$$, Italian  
Dirty French,4.1,59,$$$, French 
Nerai,4.5,48,$$$, Greek 
Arrogant Swine,4.0,58,$, Barbecue  
Lupulo,4.0,59,$$$, Portuguese 
Kang Suh,3.5,81,$$, Korean 
Hometown Bar-B-Que,4.5,218,$$, Barbecue  
Okonomi,4.6,103,$, Japanese  
Cherche Midi,4.0,141,$$, French 
Streetbird Rotisserie,3.7,90,$, Chicken 
Patroon,4.0,42,$$$$, New American 
Sushi Yasaka,4.4,166,$$, Sushi 
Mu Ramen,4.3,110,$$, Ramen  
The Black Ant,3.9,48,$$, Mexican 
Oiji,4.3,36,$$$, Korean 
Thelma on Clinton,4.1,15,$$, American 
Kung Fu Little Steamed Buns Ramen,4.1,141,$, Asian Fusion 
Kitchen 79,4.4,31,$$, Thai  
Daniel,4.5,510,$$$$, French 
Mr Chow,3.7,64,$$$, Chinese 
Petrossian,4.2,90,$$$, French 
Katz's,4.1,2742,$$, Deli
Spiga,4.2,36,$$, Italian 
Frankies 457 Spuntino,4.5,196,$$, Italian  
Del Posto,4.4,331,$$$$, Italian 
A Voce Madison,4.1,121,$$$, Italian 
Blaue Gans,4.2,97,$$$, Austrian 
Brasserie Ruhlmann,3.8,39,$$$, French 
El Parador,4.1,67,$$$, Mexican 
Taboon,4.5,107,$$$, Mediterranean 
Pacificana,3.7,91,$$, Dim Sum  
Luzzo's,4.2,173,$$, Pizza 
Tori Shin,4.4,25,$$$$, Japanese 
Urubamba,3.6,70,$$, Peruvian  
Xe Lua,4.3,48,$$, Vietnamese 
Tipsy Parson,3.9,123,$$, Gastropub
Pylos,4.5,150,$$$, Greek 
The Breslin,4.2,347,$$$, British 
A Casa Fox,4.1,33,$$, 
Don's Bogam,4.2,109,$$, Korean 
Soba Totto,4.2,97,$$$, Japanese 
Madangsui,4.0,85,$$, Korean 
Oceana,4.3,131,$$$, Seafood 
Caravaggio,4.1,26,$$$$, Italian 
Community Food &amp; Juice,3.9,160,$$, American 
Miranda,4.3,27,$$$, Italian  
Main Street Imperial Taiwanese Gourmet,4.0,29,$, Taiwanese  
Laut,4.1,154,$$, Malaysian 
Print,4.3,73,$$$, New American 
Jake's Steakhouse,4.2,56,$$$, Steak House 
Nom Wah Tea Parlor,4.1,273,$$, Tea House
El Mio Cid,3.6,29,$$, Tapas  
Sura,3.6,28,$$, Thai 
Taci's Beyti,4.4,176,$$, Turkish  
Uncle Zhou,4.1,24,$, Mandarin 
Lulu &amp; Po,4.2,14,$$, New American  
Larb Ubol,4.3,82,$, Thai 
Morgan's BBQ,4.2,143,$, Barbecue  
Tessa,4.3,36,$$, Mediterranean 
Navy,4.0,17,$$, Seafood 
Russ &amp; Daughters Cafe,4.5,162,$$, Jewish 
Gregory's 26 Corner Taverna,4.4,25,$$, Pub 
Cafe Jacqueline,4.6,53,$$$, French 
Anchor Oyster Bar,4.5,172,$$, Seafood 
Absinthe Brasserie & Bar,4.1,831,$$$, French 
Jardinière,4.1,413,$$$$, French 
Thep-phanon,4.0,111,$$, Thai 
Zuni Café,4.1,1047,$$$, French 
Angele Restaurant and Bar,4.1,70,$$$, French 
Cook St. Helena,4.5,35,$$$, Italian 
Bistro Jeanty,4.5,166,$$$, French 
Willow Wood Market Cafe,4.2,29,$$, Mediterranean 
John Ash & Co. Restaurant,3.8,43,$$$, Fine Dining 
Cafe La Haye,4.6,29,$$$, Cafe
Della Santina's,4.0,52,$$, Italian 
Fringale Restaurant,4.3,89,$$$, French 
Barndiva,4.3,61,$$$, American 
Wine Spectator Greystone Restaurant,4.2,24,$$$, Italian 
La Toque,4.4,41,$$$$, French 
Chez Panisse,4.5,509,$$$$, Californian 
Tacubaya,4.1,111,$$, Mexican 
À Côté,4.3,80,$$, Mediterranean 
Picco Restaurant,4.4,45,$$$, Californian 
Insalata's,3.9,33,$$, Mediterranean 
Poggio Trattoria,4.1,109,$$, Italian 
Sushi Ran,4.5,151,$$$$, Japanese 
Frantoio Ristorante,3.8,20,$$$, Organic 
Marche aux Fleurs,4.3,12,$$$, French 
Farallon Restaurant,4.2,214,$$$$, Seafood 
A16,4.2,515,$$$, Italian 
Dragon Well,3.9,50,$$, Chinese 
Florio Bar & Cafe,3.9,51,$$, Italian 
Mamacita,4.2,162,$$, Mexican 
Quince,4.6,160,$$$$, Fine Dining 
Enoteca Sociale,4.3,60,$$$, Italian  
Pancho Villa Taqueria,4.2,445,$, Mexican 
Bar Tartine,4.2,534,$$$, European 
La Folie,4.3,135,$$$$, Bar
Oriental Pearl Restaurant,4.1,86,$$$, Chinese 
Albona Restaurant,4.3,38,$$$, Italian 
Gary Danko,4.5,890,$$$$, French 
The House,4.3,296,$$$, Asian 
Piperade,4.1,80,$$$, Basque 
The Slanted Door,4.2,783,$$$, Vietnamese 
Chapeau!,4.5,139,$$$, French 
Aziza,4.4,187,$$$, Moroccan 
Khantoke Thai House,3.9,41,$$, Thai 
Pizzetta,4.5,115,$$, Pizza 
Manora's Thai Cuisine,4.4,61,$, Thai 
Yank Sing: Stevenson Street,4.0,358,$$, Chinese 
Hong Kong Flower Lounge Restaurant,3.7,95,$$, Dim Sum 
Evvia Estiatorio,4.5,426,$$$, Greek 
John Bentley's Restaurant,4.5,50,$$$, New American 
Oliveto Restaurant and Cafe,3.9,124,$$$, Italian 
Valette,4.6,21,$$$$, Californian 
Redd,4.4,121,$$$$, New American 
Mustards Grill,4.4,134,$$$, Bar & Grill
The French Laundry,4.4,335,$$$$, French 
Brix Restaurant and Gardens,4.0,81,$$$, New American 
Bouchon,4.3,252,$$$, French 
Cole's Chop House,4.3,68,$$$, Steak House
Celadon,4.3,72,$$$, Eclectic 
Frascati,4.4,107,$$$, Mediterranean 
Boon Fly Cafe,4.6,83,$$, Californian 
Perbacco,4.2,208,$$$, Italian 
Park Chow,3.9,278,$$, American 
Salt House,3.9,216,$$$, American 
Bistro Liaison,3.9,63,$$$, French 
Dona Tomas,4.1,87,$$, Mexican 
Wood Tavern,4.6,113,$$, Californian 
Pasta Moon,4.1,97,$$, Italian 
Ad Hoc,4.4,192,$$$$, Family 
The Restaurant at Meadowood,4.8,40,$$$$, Fine Dining 
Rutherford Grill,4.3,139,$$$, American 
Cucina Paradiso,4.3,56,$$, Italian 
LaSalette Restaurant,4.3,67,$$$, Portuguese 
Monti's Rotisserie & Bar,4.0,35,$$, Mediterranean 
Willi's Seafood & Raw Bar,4.3,71,$$, Seafood 
Willi's Wine Bar,4.4,84,$$$, Eclectic 
Risibisi,4.1,38,$$$, Italian 
SPQR,4.1,261,$$$$, Italian 
Epic Roasthouse,4.0,250,$$$, Steak House
Waterbar,4.3,276,$$$, Seafood 
Cascal,3.9,993,$$, Nuevo Latino 
Dio Deka Fine Hellenic Cuisine,4.2,84,$$$, Greek 
Sushi Sam's Edomata,4.3,199,$$, Japanese 
Azzurro Pizzeria E Enoteca,4.3,41,$$, Pizza 
La Taquiza Mexican Grill,3.8,62,$, 
Harvest Moon Cafe,4.6,30,$$$, Cafe
Bellanico Restaurant and Wine Bar,4.4,53,$$, Italian  
Pampas,4.2,295,$$$, Brazilian 
Corso,4.1,79,$$, Italian 
Le Garage,4.0,96,$$, French 
Contigo,4.3,108,$$$, Tapas Bar
L'Ardoise,4.7,100,$$$, French 
Chiaro Scuro,4.1,43,$$$, Italian 
Riva Cucina,4.5,37,$$, Northern Italian 
Marinitas,4.2,40,$$, Mexican 
Flea Street,4.4,90,$$$, New American 
Bottega,4.4,163,$$$, Italian 
RN74,4.0,148,$$$$, French 
Brown Sugar Kitchen,4.2,198,$$, Soul Food 
Hong Kong East Ocean Seafood Restaurant,3.9,103,$$, Chinese 
Artisan Bistro,4.2,20,$$$, Bistro
Battambang,4.2,33,$$, Cambodian 
Grand Avenue Thai Cuisine,4.3,29,$$, Thai 
Sahn Maru Korean BBQ,4.0,24,$$, 
Metro Lafayette,3.7,21,$$, Californian 
Va de Vi,4.5,101,$$, Small Plates 
Crouching Tiger Restaurant,4.2,91,$$, Chinese 
54 Mint,4.1,116,$$$, Italian 
Diavola Pizzeria & Salumeria,4.6,65,$$, Pizza 
Donato Enoteca,4.3,108,$$, Italian 
Flour + Water,4.3,415,$$$, Italian 
Regalito Rosticeria,3.7,65,$$, Mexican 
The Peasant & The Pear,4.3,71,$$$, Californian 
La Costanera,4.5,107,$$$, Peruvian 
Martins West Gastropub,4.4,114,$$$, Gastropub
Viognier,4.0,67,$$$, French 
Vung Tau Restaurant,4.2,109,$$, Vietnamese 
Norman Rose Tavern,4.2,41,$$, Bar
Jannah,4.3,25,$$, Middle Eastern 
Piqueo's,4.3,61,$$, Peruvian 
Cetrella - Half Moon Bay,4.0,43,$$$, Mediterranean 
Wakuriya,4.6,40,$$$$, Japanese 
Baume,4.4,70,$$$$, French 
Farmstead at Long Meadow Ranch,4.6,145,$$$, American 
Bistro 29,4.0,16,$$, French 
Bangkok Jam Thai Restaurant,4.0,10,$$, Thai 
Osteria Stellina,4.2,46,$$$, Italian 
R'Noh Thai Restaurant,4.6,24,$$, Thai 
Hachi Ju Hachi,4.5,34,$$, Japanese 
Sawa Sushi,4.2,34,$$$$, Japanese 
Sumika,4.3,151,$$, Japanese 
Thien Long Restaurant,4.3,55,$$, 
C Casa,3.6,28,$$, Mexican 
Oenotri,4.4,56,$$$, Italian 
Sons & Daughters,4.4,54,$$$$, Fine Dining 
Wayfare Tavern,4.4,322,$$$, American 
Bistro Aix,4.3,71,$$$, French 
Saison,4.6,71,$$$$, New American 
