name,rev,price
Bocca,"4.1
56 Google reviews",$$ · Italian Restaurant
Hanjan,"4.3
43 Google reviews",$$$ · Korean Restaurant
Ootoya,None,None
Barraca,"4.2
94 Google reviews",$$ · Spanish Restaurant
Le Philosophe,"4.2
17 Google reviews",$$$ · French Restaurant
Murray's Cheese Bar,"4.4
108 Google reviews",$$ · American Restaurant
Maison Harlem,"4.1
74 Google reviews",$$ · French Restaurant
Cata,"4.0
44 Google reviews",$$ · Spanish Restaurant
SakaMai,"4.6
44 Google reviews",$$ · Japanese Restaurant
Caviar Russe,"4.3
19 Google reviews",$$$$ · New American Restaurant
Crave Fishbar,"4.6
52 Google reviews",$$$ · Seafood Restaurant
Obikà,"3.9
33 Google reviews",$$ · Italian Restaurant
Stella 34,"4.1
57 Google reviews",$$$ · Italian Restaurant
Ciccio,"4.6
29 Google reviews",$$ · Italian Restaurant
Cómodo,"4.4
30 Google reviews",$$ · Latin American Restaurant
Pearl &amp; Ash,"4.2
35 Google reviews",$$$ · New American Restaurant
FP Patisserie,None,None
Maison Kayser,None,None
Moti Mahal Delux,"4.2
58 Google reviews",$$ · Indian Restaurant
The Nuaa,"4.1
16 Google reviews",$$ · Thai Restaurant
Andanada,"4.2
44 Google reviews",$$$ · Spanish Restaurant
Neerob,"4.2
77 Google reviews",$ · Bangladeshi Restaurant · Bronx
Ganso Ramen,"4.1
132 Google reviews",$$ · Ramen Restaurant · Brooklyn
Nightingale 9,"4.1
19 Google reviews",$ · Asian Restaurant · Brooklyn
Prospect,"4.7
24 Google reviews",$$$ · New American Restaurant · Brooklyn
Ramen Yebisu,"4.0
71 Google reviews",$ · Ramen Restaurant · Brooklyn
Runner &amp; Stone,"4.5
44 Google reviews",$$ · American Restaurant · Brooklyn
Sottocasa,None,None
Zizi Limona,"4.7
47 Google reviews",$ · Middle Eastern Restaurant · Brooklyn
John Brown Smokehouse,"4.5
196 Google reviews",$$ · Barbecue Restaurant · Long Island City
Zum Stammtisch,"4.4
128 Google reviews",$$ · German Restaurant · Glendale
Maysville,"4.3
87 Google reviews",$$$ · American Restaurant
Cull &amp; Pistol,"4.4
62 Google reviews",$$$ · Oyster Bar Restaurant
Pastai,"4.2
28 Google reviews",$$$ · Italian Restaurant
Royal Seafood,"3.6
44 Google reviews",$$ · Chinese Restaurant
Oda House,"4.7
63 Google reviews",$$ · Georgian Restaurant
Sushi Dojo,"4.2
42 Google reviews",$$ · Sushi Restaurant
Trading Post,"4.3
56 Google reviews",American Restaurant
ABC Cocina,"4.2
79 Google reviews",$$$ · Nuevo Latino Restaurant
Carbone,"4.3
84 Google reviews",$$$$ · Italian Restaurant
Lafayette,"4.2
141 Google reviews",$$$ · French Restaurant
Malaparte,"4.5
62 Google reviews",$$ · Italian Restaurant
ABV,"3.8
34 Google reviews",$$ · Bar
J. Restaurant Chez Asta,"4.2
17 Google reviews",$$ · African Restaurant
Marcha Cocina,None,None
Vinatería,"4.3
56 Google reviews",$$$ · New American Restaurant
Sake Bar Hagi,"4.4
192 Google reviews",$ · Japanese Restaurant
Betony,"4.4
61 Google reviews",$$$ · New American Restaurant
The Musket Room,"4.6
53 Google reviews",$$ · New Zealand Restaurant
Uncle Boons,"4.5
101 Google reviews",$$ · Thai Restaurant
Kaia,"4.3
44 Google reviews",$$ · Wine Bar
Tanoshi,"4.6
46 Google reviews",$$$ · Sushi Restaurant
Ceetay,"4.7
50 Google reviews",Restaurant · Bronx
Krolewskie Jadlo,None,None
Mayfield,"4.4
82 Google reviews",$$ · American Restaurant · Brooklyn
Mominette,"3.8
47 Google reviews",$$ · French Restaurant · Brooklyn
Nargis Cafe,"4.1
244 Google reviews",$$ · Middle Eastern Restaurant · Brooklyn
River Styx,"3.9
30 Google reviews",$$ · Restaurant · Brooklyn
