name,rev,price
Schwa,"4.6
51 Google reviews",$$$$ · New American Restaurant
Spacca Napoli,"4.6
196 Google reviews",$$ · Pizza Restaurant
Topolobampo,"4.3
155 Google reviews",$$$ · Mexican Restaurant
Tru,"4.4
91 Google reviews",$$$$ · French Restaurant
North Pond,"4.4
66 Google reviews",$$$ · American Restaurant
Everest,"4.3
80 Google reviews",$$$$ · French Restaurant
La Sardine,"4.5
40 Google reviews",$$ · French Restaurant
Spiaggia,"4.3
104 Google reviews",$$$$ · Italian Restaurant
Mon Ami Gabi,"4.4
69 Google reviews",$$ · French Restaurant
Paprika,"3.6
23 Google reviews",$$ · Vegetarian Restaurant
Giordano's,None,None
Bavette's Bar &amp; Boeuf,"4.6
128 Google reviews",$$$ · Steak House
Tortoise Club,"4.1
41 Google reviews",$$$ · American Restaurant
Travelle,"4.2
18 Google reviews",$$$ · American Restaurant
Staropolska,"4.6
87 Google reviews",$$ · Polish Restaurant
Charlatan,"4.2
29 Google reviews",$$ · Italian Restaurant
The Duck Inn,"4.2
44 Google reviews",$$ · American Restaurant
